time[s], rv1_mhd[m/s], rv2_mhd[m/s], rv3_mhd[m/s], rv4_mhd[m/s], rv5_mhd[m/s], sampling_grid[1=yes;0=no]
0.061115 -0.085254 0.518195 0.842735 -0.254246 -0.819341 0 
0.061810 0.586042 0.857861 0.232387 -0.265285 0.295881 0 
0.062504 -0.818561 0.551077 0.260670 0.681649 -0.012366 0 
0.063199 -0.306695 1.271059 1.381895 -0.003688 0.087554 0 
0.063893 -0.126537 0.368108 0.085686 0.104168 -0.235552 0 
0.064588 -0.858325 0.165152 -0.199033 0.580316 -0.100339 0 
0.065282 -0.384358 0.118105 0.281722 -0.074926 0.943901 1 
0.065977 -0.454384 0.265198 0.706127 1.293152 1.804603 0 
0.066671 0.167308 0.096305 1.178751 -0.450930 0.430082 0 
0.067366 0.469441 0.106046 0.233260 -0.354686 0.211581 0 
0.068060 -0.346716 0.328189 0.989041 0.992841 0.432119 0 
0.068755 -0.201982 -0.222439 0.575615 -0.022987 0.227933 0 
0.069449 -0.552178 0.131023 0.918141 0.162234 -1.380850 0 
0.070144 -0.394498 0.436864 0.089505 -0.054413 -0.888353 0 
0.070838 -0.665303 0.188070 -0.061697 -0.707979 0.037881 0 
0.071533 -0.072505 -0.659000 1.105146 0.049014 0.024116 0 
0.072227 0.132420 -0.746658 -0.336060 -0.042412 -0.207931 0 
0.072922 -1.278268 0.320606 -0.028823 -0.014143 -0.245691 0 
0.073616 -0.815634 -0.958297 -0.360641 -0.178424 0.843024 0 
0.074311 -0.954393 -1.195974 0.248964 0.563007 -0.874394 0 
0.075005 -0.255018 -0.665121 -0.045710 0.452308 -1.799309 0 
0.075700 -0.536821 -0.906797 1.013903 0.789840 -1.316671 0 
0.076394 -0.700830 0.216614 0.401301 -1.419049 -0.490803 0 
0.077089 -1.095901 -0.629923 -0.094494 1.036897 -0.478468 0 
0.077783 -1.236387 -0.933117 0.094281 0.096017 -0.505897 0 
0.078478 -0.979088 -0.109985 1.605476 -0.749857 -1.406031 0 
0.079172 -0.225189 -0.286550 1.498753 0.356113 -1.491924 0 
0.079867 -0.337687 -1.900160 -0.980876 0.378648 0.165699 0 
0.080561 -0.113357 -0.222524 2.182711 0.071175 -0.978465 0 
0.081256 -1.287444 -0.514387 0.203914 1.034022 -0.503777 0 
0.081950 -0.384029 -0.458139 -0.101244 1.401373 -0.651684 0 
0.082645 0.078290 -0.921702 0.679184 1.219992 -0.437152 0 
0.083339 -0.489632 -0.375957 -0.439784 0.773987 0.075821 0 
0.084034 0.042269 0.008378 0.092298 -0.257762 -0.296877 0 
0.084728 -1.375550 0.680363 1.179145 0.366935 0.476671 0 
0.085423 -0.815768 0.361811 -0.216455 0.650698 0.152238 0 
0.086117 -0.606495 -1.130588 1.036438 -0.844072 -1.115647 0 
0.086812 -0.518126 -0.769340 0.572575 -0.130023 -0.861414 0 
0.087506 -0.735429 -0.807837 -0.829396 -0.413807 -0.373761 0 
0.088201 -0.065021 0.028501 0.221167 0.282390 -0.336596 0 
0.088895 -1.208326 -0.760966 -0.820720 -0.689511 -0.758820 0 
0.089590 -0.041381 -0.058479 0.302143 -0.127514 -0.752932 0 
0.090284 -0.889871 1.216545 -0.961866 -0.815445 -0.985693 0 
0.090979 -1.396703 0.716494 -0.726324 -1.060535 -0.361391 0 
0.091673 -0.563238 0.742226 0.716974 -0.697895 0.306419 0 
0.092368 0.085510 0.385995 0.236280 1.384792 -0.426747 0 
0.093062 -0.433671 0.751718 -0.371879 0.412105 0.082772 0 
0.093757 -0.577509 -0.856747 0.535964 -0.651951 0.555984 0 
0.094451 -0.622108 -0.830191 -1.006588 0.739114 -0.298140 0 
0.095145 -0.624144 0.215557 -0.259785 -0.413649 0.958043 0 
0.095840 -0.745836 0.651257 -0.745437 1.063046 0.676360 0 
0.096534 -1.192642 -0.197854 -0.180625 -0.258724 0.011709 0 
0.097229 -1.248430 -0.963041 0.886845 1.493516 0.545351 0 
0.097923 -0.095213 0.026804 -0.861411 0.725917 0.957671 0 
0.098618 -1.343355 -0.434240 0.139621 -0.046284 0.163516 1 
0.099312 -1.406321 0.709685 -0.285659 0.461945 -0.091975 0 
0.100007 -1.260730 -0.296717 -0.405398 0.305158 0.268924 0 
0.100701 -0.392614 0.113438 0.318789 0.925201 0.548368 0 
0.101396 -1.272625 0.202435 0.335991 0.336783 -0.606241 0 
0.102090 -1.295294 1.166359 0.088332 0.856160 -0.181956 0 
0.102785 -1.320510 -0.005309 -0.512154 0.342956 -0.133316 0 
0.103479 -1.515679 -0.283025 -1.767183 -0.134665 0.398621 0 
0.104174 -0.607528 0.288570 -0.415735 -0.232863 -0.179659 0 
0.104868 -0.878289 0.555630 0.332277 0.488788 -0.460976 0 
0.105563 -0.649100 0.575785 -0.940093 0.616929 0.527378 0 
0.106257 -0.098339 1.452238 0.451563 0.756282 0.281389 0 
0.106952 -0.838188 1.093208 -0.641952 0.954381 -1.189390 0 
0.107646 0.406497 0.632073 -0.502595 0.251814 0.086404 0 
0.108341 -0.012228 1.352266 -0.541215 0.158485 -0.191817 0 
0.109035 -0.809333 0.581581 -1.766033 -0.090764 -0.456707 0 
